frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
24, 27, 0.0138375, 0.00963034, 0.00206921, 0.00297019, 0.004057, 0.00652142, 0.00422945, 0.00380841, 0.00516047, 0.00283065, 0.00744972, 0.00921016, 0.0082682, 0.0104493, 0.0113602, 0.00793629, 0.0072163, 0.00707311, 0.0111631, 0.00468096, 0.013911, 0.00678002, 0.00697245, 0.00673207, 0.00865563, 0.0064645, 0.00388547, 0.00414583, 0.0130659, 0.0122096, 0.00935614, 0.00817967, 0.00949392, 0.0278432, 0.00875338, 0.00609972, 0.00846007
25, 28, 0.0140468, 0.00974828, 0.0018336, 0.00298631, 0.00399105, 0.00636884, 0.00428152, 0.00401666, 0.00520073, 0.00283731, 0.00735764, 0.00924285, 0.00837337, 0.0106501, 0.0109798, 0.00780672, 0.00740837, 0.00722416, 0.011855, 0.00489201, 0.0147437, 0.00687592, 0.00710916, 0.00661609, 0.00878418, 0.00618057, 0.0041093, 0.0042538, 0.0134978, 0.0124626, 0.00957009, 0.00842738, 0.0100621, 0.0287856, 0.00865122, 0.00608967, 0.00831107
26, 28, 0.0142004, 0.00990103, 0.00165959, 0.00307095, 0.00390828, 0.00628556, 0.0043196, 0.00422796, 0.00519572, 0.00282294, 0.0072481, 0.00928832, 0.00848883, 0.0108682, 0.0105643, 0.0076529, 0.00760836, 0.00737641, 0.0125513, 0.0051484, 0.0157008, 0.00696539, 0.00724522, 0.00643828, 0.00895382, 0.00586104, 0.00433761, 0.00426866, 0.013894, 0.0127033, 0.00975684, 0.00865431, 0.0106449, 0.0297921, 0.00856617, 0.00611248, 0.00817397
27, 29, 0.0142877, 0.0100924, 0.00158653, 0.00320746, 0.00380653, 0.00629435, 0.00433642, 0.00442868, 0.00513556, 0.00278566, 0.00712356, 0.00935084, 0.00861023, 0.0110905, 0.0101298, 0.00747902, 0.00780551, 0.00752321, 0.0131849, 0.00539212, 0.0167533, 0.00704549, 0.00737475, 0.00621735, 0.00916939, 0.00552612, 0.00455567, 0.0041967, 0.0142429, 0.0129268, 0.00991075, 0.00885583, 0.0112368, 0.0308174, 0.00849694, 0.00617376, 0.00804598
28, 29, 0.0142751, 0.0103146, 0.00163233, 0.00338646, 0.0036984, 0.00641374, 0.00432597, 0.00460464, 0.00501881, 0.00272652, 0.00699112, 0.00942419, 0.00873451, 0.0113018, 0.00969794, 0.00729596, 0.00799939, 0.00766412, 0.0136931, 0.0055904, 0.0178664, 0.0071142, 0.00749623, 0.00598976, 0.00942458, 0.00520494, 0.00475013, 0.00405632, 0.0145351, 0.0131218, 0.0100224, 0.00902137, 0.0118383, 0.0318175, 0.00844017, 0.00627962, 0.00791989
29, 30, 0.0141295, 0.0105596, 0.00179905, 0.0036067, 0.00361306, 0.00664993, 0.00428649, 0.00474245, 0.00485383, 0.00264914, 0.00686088, 0.00949678, 0.00885753, 0.0114869, 0.00929047, 0.00711711, 0.00820606, 0.00780819, 0.0140303, 0.00575947, 0.0189967, 0.00716947, 0.00761414, 0.00579363, 0.0096846, 0.00493301, 0.00490577, 0.00387782, 0.0147635, 0.013274, 0.0100813, 0.00913718, 0.012457, 0.0327611, 0.00838815, 0.00643482, 0.00778216
30, 30, 0.0138461, 0.010829, 0.00208592, 0.00387098, 0.00358635, 0.00699315, 0.0042223, 0.00483389, 0.00465607, 0.00255826, 0.00674066, 0.00955692, 0.00897408, 0.0116346, 0.00892393, 0.00695346, 0.00844729, 0.00796885, 0.0141726, 0.00594352, 0.0201031, 0.0072122, 0.00773686, 0.00564813, 0.00990066, 0.00474136, 0.00501124, 0.00370667, 0.0149278, 0.0133656, 0.0100778, 0.0091846, 0.0131004, 0.0336335, 0.00832967, 0.0066407, 0.00761431
31, 30, 0.0134528, 0.0111328, 0.00248482, 0.00418644, 0.00364166, 0.00742377, 0.00414258, 0.00488061, 0.00444375, 0.00245894, 0.00663276, 0.00959717, 0.00908145, 0.0117436, 0.00860653, 0.00681126, 0.00873194, 0.0081532, 0.0141243, 0.00617651, 0.0211657, 0.00724652, 0.00786999, 0.00554211, 0.0100458, 0.00463841, 0.00506609, 0.00360402, 0.0150392, 0.0133821, 0.010007, 0.00914728, 0.0137677, 0.0344372, 0.00825447, 0.00689254, 0.00740022
32, 30, 0.0130059, 0.011487, 0.00298028, 0.0045601, 0.00377668, 0.00791905, 0.00405952, 0.00489673, 0.0042358, 0.00235767, 0.00653872, 0.00961773, 0.00918132, 0.011824, 0.00833699, 0.00669181, 0.00905046, 0.00835881, 0.0139207, 0.00646067, 0.0221945, 0.00727928, 0.00801336, 0.00545349, 0.0101335, 0.0046063, 0.00508425, 0.00363015, 0.0151212, 0.0133212, 0.00987319, 0.00902287, 0.0144479, 0.0351873, 0.0081572, 0.00717755, 0.00713367
33, 30, 0.0125848, 0.0119111, 0.00355902, 0.00499027, 0.00396501, 0.00845301, 0.00398641, 0.00490427, 0.00404998, 0.00226293, 0.00646494, 0.00963162, 0.00927994, 0.0118953, 0.0081046, 0.00659217, 0.00938791, 0.00858172, 0.0136195, 0.00677792, 0.023222, 0.00732184, 0.00816677, 0.00537387, 0.0102054, 0.00462157, 0.00509074, 0.00381462, 0.0152027, 0.0131927, 0.00968654, 0.00882272, 0.015122, 0.0359046, 0.00803908, 0.00747666, 0.00682107
34, 30, 0.0122725, 0.0124203, 0.00421012, 0.00546395, 0.00416959, 0.00898905, 0.00393504, 0.00492604, 0.00390132, 0.00218405, 0.00642258, 0.00966768, 0.00938847, 0.01198, 0.00789156, 0.006507, 0.00973951, 0.00882509, 0.0132814, 0.00711857, 0.0242895, 0.0073887, 0.00833539, 0.00531208, 0.0103005, 0.00467443, 0.0051099, 0.00414871, 0.0153111, 0.0130101, 0.00945618, 0.00856288, 0.0157726, 0.0366082, 0.00790639, 0.00777226, 0.00647779
35, 30, 0.0121129, 0.0130115, 0.00492053, 0.00596274, 0.00435658, 0.00948008, 0.00391345, 0.00498046, 0.00380117, 0.00212939, 0.00642287, 0.00976257, 0.00951969, 0.0120981, 0.00767759, 0.00642954, 0.0101125, 0.00909862, 0.0129591, 0.00748685, 0.0254341, 0.00749318, 0.00852883, 0.00528131, 0.0104447, 0.0047666, 0.00515759, 0.00460282, 0.0154649, 0.0127899, 0.00919079, 0.00826265, 0.0163917, 0.0373143, 0.007768, 0.0080559, 0.00612072
36, 30, 0.0120936, 0.0136608, 0.00567566, 0.0064705, 0.00450234, 0.00988154, 0.00392456, 0.00507881, 0.00375656, 0.00210472, 0.00647597, 0.00994445, 0.00968083, 0.0122626, 0.00744599, 0.0063519, 0.010518, 0.00941307, 0.0126895, 0.00788015, 0.0266752, 0.00764578, 0.00875751, 0.00529239, 0.0106584, 0.00490248, 0.0052454, 0.00514501, 0.0156707, 0.0125495, 0.008902, 0.00794341, 0.0169838, 0.0380359, 0.00763422, 0.00833174, 0.00576224
37, 29, 0.0121763, 0.0143439, 0.00646063, 0.00697833, 0.00459611, 0.0101739, 0.0039677, 0.00522508, 0.00377056, 0.00211255, 0.00659424, 0.010222, 0.009869, 0.0124763, 0.00719016, 0.00626691, 0.0109684, 0.00977954, 0.0124827, 0.00828379, 0.0279989, 0.00785595, 0.00903245, 0.00535033, 0.0109403, 0.00508981, 0.00537768, 0.00575065, 0.0159246, 0.0122994, 0.00860079, 0.00761663, 0.0175606, 0.0387765, 0.00751539, 0.00861382, 0.0054075
38, 29, 0.0123276, 0.0150496, 0.00725543, 0.00748956, 0.00464067, 0.0103765, 0.00404173, 0.00541983, 0.00384352, 0.0021523, 0.00679383, 0.0105873, 0.0100741, 0.0127318, 0.00691572, 0.00617119, 0.0114797, 0.0102109, 0.0123199, 0.0086912, 0.0293607, 0.0081313, 0.00936399, 0.00544537, 0.0112455, 0.00533559, 0.00554019, 0.00640411, 0.0162174, 0.0120351, 0.00829371, 0.00727439, 0.0181341, 0.0395266, 0.00742034, 0.00891936, 0.00505527
39, 29, 0.0125161, 0.0157727, 0.00803897, 0.00801845, 0.00464689, 0.0105365, 0.00414556, 0.00566469, 0.00397233, 0.00222012, 0.00709064, 0.011028, 0.010286, 0.0130163, 0.00663638, 0.00606622, 0.0120626, 0.010715, 0.0121729, 0.00911044, 0.0307175, 0.00847364, 0.00975469, 0.00555238, 0.0115219, 0.0056329, 0.00570789, 0.0070956, 0.0165422, 0.0117426, 0.00798447, 0.0068964, 0.0187131, 0.040272, 0.00735489, 0.00926079, 0.00470052
40, 29, 0.0126992, 0.0165023, 0.00880618, 0.00858074, 0.00462472, 0.0106931, 0.0042747, 0.00596059, 0.0041474, 0.00230847, 0.00749251, 0.0115367, 0.0104985, 0.0133157, 0.00636906, 0.00595736, 0.0127112, 0.0112874, 0.0120261, 0.00954591, 0.0320538, 0.00887881, 0.0101968, 0.00565383, 0.0117709, 0.0059648, 0.00587063, 0.00781711, 0.016897, 0.0114105, 0.00767794, 0.00646564, 0.0193019, 0.041006, 0.00731928, 0.00964048, 0.00433681
41, 30, 0.0128299, 0.0172251, 0.00956953, 0.00918892, 0.00457909, 0.0108533, 0.00441838, 0.00630321, 0.00434964, 0.00240627, 0.00799324, 0.0121129, 0.0107099, 0.0136164, 0.00612995, 0.00585175, 0.0134099, 0.0119166, 0.0118793, 0.00998818, 0.0333723, 0.00934281, 0.0106809, 0.0057542, 0.0120398, 0.0063245, 0.00603878, 0.0085625, 0.0172825, 0.0110332, 0.00737924, 0.00597379, 0.0199008, 0.0417266, 0.00730623, 0.0100501, 0.00395498
42, 30, 0.0128764, 0.0179352, 0.0103377, 0.00985127, 0.00451555, 0.0109996, 0.00456169, 0.0066825, 0.00455197, 0.00250045, 0.00857086, 0.0127577, 0.01092, 0.0139069, 0.00592971, 0.00575499, 0.0141493, 0.0125966, 0.0117331, 0.0104355, 0.034671, 0.00986623, 0.0112054, 0.00587401, 0.0123565, 0.0067206, 0.00622181, 0.00933266, 0.0177013, 0.0106032, 0.00709107, 0.0054108, 0.0205034, 0.042425, 0.00730159, 0.0104721, 0.00354272
43, 31, 0.012832, 0.0186342, 0.0110952, 0.0105747, 0.00444391, 0.0111175, 0.00469274, 0.00708482, 0.00472718, 0.00257965, 0.00919054, 0.0134667, 0.011129, 0.0141792, 0.00577008, 0.00566751, 0.0149325, 0.0133288, 0.0115901, 0.0109215, 0.0359384, 0.0104502, 0.0117743, 0.00603211, 0.0126977, 0.00716289, 0.00641368, 0.0101375, 0.0181595, 0.0101082, 0.00681802, 0.00475835, 0.0210948, 0.043083, 0.00728897, 0.0108818, 0.00309005
