frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
21, 23, 0.0148001, 0.0105874, 0.00359727, 0.00430022, 0.00453469, 0.0056704, 0.00522901, 0.00658506, 0.0037832, 0.00195092, 0.00824608, 0.0117344, 0.00801694, 0.00823995, 0.0105065, 0.00782587, 0.00374652, 0.00482244, 0.00572091, 0.00491041, 0.00236877, 0.00621742, 0.00543781, 0.00560065, 0.00311277, 0.00445248, 0.00207596, 0.000391367, 0.00653409, 0.00745286, 0.00549154, 0.00277213, 0.00352016, 0.0256902, 0.0149708, 0.0113963, 0.0155188
22, 25, 0.0153649, 0.0108047, 0.00320229, 0.00413633, 0.00453265, 0.0055296, 0.00519514, 0.00646152, 0.00385458, 0.00201206, 0.00833287, 0.0119471, 0.00807187, 0.00824708, 0.0104488, 0.00782397, 0.00380139, 0.00497732, 0.00656742, 0.00476514, 0.00219061, 0.00645334, 0.00558167, 0.00523082, 0.00299105, 0.0041192, 0.00199725, 0.000401141, 0.0069153, 0.00773518, 0.00572092, 0.00311529, 0.00310347, 0.0265269, 0.0151766, 0.0114658, 0.0157286
23, 26, 0.0159493, 0.0110304, 0.00282009, 0.0040137, 0.00449101, 0.00537579, 0.00515868, 0.00633884, 0.00390894, 0.0020682, 0.0083706, 0.0121018, 0.00812921, 0.0083052, 0.0103395, 0.00780425, 0.00390996, 0.00517867, 0.00747656, 0.00466792, 0.00215124, 0.00671701, 0.00574208, 0.00485647, 0.00290252, 0.00375775, 0.00194987, 0.000619194, 0.00734935, 0.00802785, 0.00595657, 0.00346531, 0.0026815, 0.0274271, 0.0153793, 0.011532, 0.0159392
24, 27, 0.0165518, 0.0112818, 0.00243501, 0.00394373, 0.00441284, 0.00522277, 0.00512335, 0.00623343, 0.00394653, 0.00211578, 0.00835615, 0.0122002, 0.00819476, 0.00841794, 0.0101759, 0.00776634, 0.00408155, 0.00542959, 0.00848735, 0.00469682, 0.00235539, 0.00700858, 0.00592152, 0.00447284, 0.00284729, 0.0033678, 0.00194378, 0.000902739, 0.00783789, 0.00832666, 0.00619652, 0.00381685, 0.00226014, 0.0284125, 0.0155881, 0.0116023, 0.0161607
25, 28, 0.0171633, 0.0115733, 0.00203464, 0.00394273, 0.00430576, 0.00509022, 0.00508917, 0.00615596, 0.00396983, 0.00215226, 0.00829218, 0.0122578, 0.00827769, 0.00858583, 0.00996072, 0.00771088, 0.00431628, 0.00572622, 0.00962866, 0.0048854, 0.00288202, 0.00732312, 0.00612027, 0.00405948, 0.00281576, 0.0029431, 0.00197874, 0.00120103, 0.00838054, 0.00862913, 0.0064401, 0.00416584, 0.00183141, 0.0294993, 0.0158083, 0.01168, 0.0163977
26, 29, 0.0177494, 0.0119037, 0.00162651, 0.00403203, 0.00418184, 0.00499695, 0.00505429, 0.00610954, 0.00398056, 0.00217612, 0.0081859, 0.0122985, 0.00838486, 0.00880281, 0.00970106, 0.00763792, 0.00460449, 0.00605826, 0.0108949, 0.00518648, 0.00373655, 0.00765285, 0.00633821, 0.00361084, 0.00280616, 0.00249125, 0.00205304, 0.00149578, 0.00897444, 0.00893583, 0.00668698, 0.00451218, 0.00137332, 0.0306869, 0.0160356, 0.0117589, 0.0166432
27, 30, 0.0182647, 0.0122614, 0.00125265, 0.00422282, 0.00405151, 0.00495411, 0.00501532, 0.00608839, 0.00397704, 0.00218656, 0.00804547, 0.0123442, 0.00851703, 0.00905815, 0.00940303, 0.0075458, 0.00492572, 0.00640853, 0.01226, 0.00550769, 0.00486281, 0.00798753, 0.00657289, 0.00316154, 0.00283907, 0.00205836, 0.00217291, 0.00177422, 0.00961344, 0.00925272, 0.00693816, 0.00486337, 0.000861373, 0.031962, 0.0162567, 0.0118259, 0.0168786
28, 31, 0.0186874, 0.0126428, 0.000972161, 0.00450219, 0.00392238, 0.00496352, 0.00496837, 0.00607979, 0.00395616, 0.00218408, 0.00787776, 0.0124062, 0.00867092, 0.00934275, 0.00906958, 0.00743329, 0.00525288, 0.00675464, 0.0136982, 0.00578063, 0.00617282, 0.00831245, 0.00681431, 0.00279802, 0.00295437, 0.00174841, 0.00234988, 0.00202293, 0.0102848, 0.00958653, 0.00719508, 0.00522744, 0.000437614, 0.0333042, 0.016455, 0.0118661, 0.0170805
29, 32, 0.0190271, 0.0130592, 0.000812295, 0.00484364, 0.00380529, 0.00501981, 0.00491278, 0.00607206, 0.00391875, 0.00217155, 0.00768921, 0.0124849, 0.0088438, 0.00965231, 0.00870379, 0.00730244, 0.00555738, 0.00707151, 0.0151843, 0.00598955, 0.00757701, 0.00860757, 0.007043, 0.00263601, 0.00318701, 0.00168499, 0.00258767, 0.00222841, 0.0109694, 0.0099392, 0.00745809, 0.00560563, 0.000957298, 0.0346865, 0.0166129, 0.0118669, 0.017224
30, 34, 0.0192945, 0.0135201, 0.000737131, 0.00522823, 0.0037151, 0.00511395, 0.00485449, 0.00606424, 0.00387247, 0.00215404, 0.00748759, 0.0125744, 0.00903478, 0.00998315, 0.00831232, 0.00715817, 0.00581506, 0.00733579, 0.0166868, 0.00615444, 0.00901165, 0.00885047, 0.00723552, 0.00274227, 0.00354461, 0.00187733, 0.00287398, 0.00238487, 0.011648, 0.0103077, 0.00772683, 0.00599319, 0.00202583, 0.0360762, 0.0167076, 0.0118172, 0.0172796
