frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
21, 149, 0.00543739, 0.0027731, 0.00292059, 0.00287054, 0.00508778, 0.00447959, 0.00395527, 0.00449931, 0.00332579, 0.00205384, 0.00301566, 0.00601835, 0.0041253, 0.0100666, 0.0111066, 0.00424193, 0.00677496, 0.00663961, 0.00545449, 0.00440291, 0.00636261, 0.0051455, 0.00514188, 0.00833675, 0.00141415, 0.0100422, 0.00123213, 0.00347162, 0.00335451, 0.000468792, 0.00100781, 0.000577255, 0.00294658, 0.00552865, 0.00120727, 0.000222287, 0.00133913
22, 150, 0.00559087, 0.00284955, 0.00309236, 0.00304306, 0.0050609, 0.00474901, 0.00392703, 0.00440137, 0.00319837, 0.00204598, 0.00310581, 0.00590708, 0.00420887, 0.0101541, 0.0110642, 0.00422213, 0.0068524, 0.00674294, 0.00626303, 0.00435355, 0.00722878, 0.00521625, 0.00531178, 0.00775832, 0.00165675, 0.00952055, 0.00108661, 0.00352569, 0.00348649, 0.000536555, 0.000980809, 0.00062155, 0.00320345, 0.00604079, 0.00134026, 0.000233317, 0.0014577
23, 152, 0.00573687, 0.0029314, 0.00324768, 0.00316029, 0.00499202, 0.00495335, 0.00388367, 0.00429335, 0.00304459, 0.0020244, 0.00321824, 0.00576317, 0.00428672, 0.0102361, 0.0110367, 0.0042072, 0.00700552, 0.00690677, 0.00712247, 0.00438155, 0.00821968, 0.00534833, 0.00552497, 0.0072405, 0.0019197, 0.00899663, 0.000987404, 0.00366616, 0.00369014, 0.000610029, 0.000983482, 0.000676722, 0.00349906, 0.00662, 0.00148292, 0.000253182, 0.00158646
24, 155, 0.00588229, 0.00301974, 0.00339564, 0.00323016, 0.00488326, 0.0050769, 0.00382645, 0.00418235, 0.00287207, 0.00199313, 0.00335103, 0.00559061, 0.00435623, 0.0103104, 0.0110215, 0.00419654, 0.00724084, 0.00713735, 0.00802861, 0.0044844, 0.00931411, 0.00552978, 0.00578037, 0.0068107, 0.00218905, 0.00849212, 0.00100175, 0.00389533, 0.00396681, 0.000688875, 0.00102099, 0.0007441, 0.00382545, 0.00726199, 0.00163391, 0.000280797, 0.00172453
25, 159, 0.00602934, 0.00311818, 0.00353994, 0.00326831, 0.00474364, 0.00511685, 0.00375956, 0.00407202, 0.00269294, 0.00195732, 0.00351198, 0.00538405, 0.00442148, 0.0103808, 0.0110116, 0.00418744, 0.00754176, 0.00742379, 0.00898776, 0.00464208, 0.0105289, 0.00575287, 0.00606647, 0.00644296, 0.00249125, 0.00801205, 0.00118319, 0.00419901, 0.00430592, 0.000775506, 0.00108872, 0.000824719, 0.0041793, 0.00796576, 0.00179254, 0.000318484, 0.00187144
26, 165, 0.00617353, 0.00323178, 0.00367607, 0.00329021, 0.00458604, 0.00508415, 0.00368943, 0.00396451, 0.00252039, 0.00192172, 0.0037079, 0.00513875, 0.00448724, 0.0104516, 0.0110003, 0.00417754, 0.00787807, 0.0077409, 0.00999543, 0.00483297, 0.0119026, 0.0060141, 0.00636583, 0.00609039, 0.00286523, 0.00755183, 0.00152384, 0.00455409, 0.00468987, 0.000873241, 0.00117578, 0.000918015, 0.00455945, 0.0087321, 0.00195645, 0.000372244, 0.00202557
27, 172, 0.00630456, 0.00336405, 0.00379667, 0.00330744, 0.00442201, 0.00499282, 0.00362364, 0.00386257, 0.00236557, 0.00189063, 0.00393803, 0.00486039, 0.00455615, 0.0105248, 0.0109838, 0.00416581, 0.00822982, 0.00807172, 0.0110277, 0.00504315, 0.0134545, 0.00631397, 0.00666501, 0.00572245, 0.00332361, 0.00710735, 0.00197465, 0.00494096, 0.00510396, 0.00098284, 0.0012739, 0.00102205, 0.00496679, 0.00955534, 0.00212425, 0.000450531, 0.00218544
28, 180, 0.006408, 0.00351583, 0.00389261, 0.00332924, 0.0042599, 0.00485496, 0.00356962, 0.00376998, 0.00223656, 0.0018681, 0.00419874, 0.00456245, 0.00462938, 0.0106007, 0.0109605, 0.00415158, 0.00860058, 0.00841973, 0.0120489, 0.00526887, 0.0151608, 0.00665587, 0.00696052, 0.0053419, 0.00384095, 0.00667904, 0.00248254, 0.00535233, 0.00554358, 0.00110155, 0.00138351, 0.00113469, 0.00540395, 0.0104191, 0.00229665, 0.000562341, 0.00235209
29, 190, 0.00646651, 0.00368463, 0.00395282, 0.0033617, 0.00410399, 0.00468831, 0.00353074, 0.00368805, 0.00213565, 0.00185586, 0.00448607, 0.00425855, 0.00470726, 0.010678, 0.0109329, 0.00413535, 0.00900594, 0.00879708, 0.0130261, 0.00551831, 0.0169582, 0.00703539, 0.00726046, 0.00497672, 0.00437246, 0.00627374, 0.00300774, 0.0057921, 0.006013, 0.00122478, 0.0015131, 0.00125458, 0.00587216, 0.0113049, 0.00247449, 0.000712485, 0.00252688
30, 200, 0.00646176, 0.0038659, 0.00396718, 0.0034082, 0.00395224, 0.00451771, 0.0035038, 0.00361328, 0.00205706, 0.00185145, 0.00479231, 0.00395781, 0.00479047, 0.0107551, 0.0109089, 0.00412033, 0.0094539, 0.00920805, 0.0139435, 0.00580456, 0.0187608, 0.00743405, 0.00757794, 0.00465778, 0.00488495, 0.00590105, 0.00353145, 0.00626795, 0.00651815, 0.0013486, 0.00167355, 0.00138148, 0.006368, 0.0122014, 0.00265599, 0.000898851, 0.00270892
31, 200, 0.00637819, 0.00405405, 0.00392647, 0.0034707, 0.00379924, 0.00436786, 0.00348189, 0.0035394, 0.00199068, 0.00184972, 0.00510694, 0.00366644, 0.00488083, 0.0108328, 0.010898, 0.00411033, 0.00993664, 0.00964702, 0.0148014, 0.00612818, 0.0204824, 0.00782974, 0.00791835, 0.00439346, 0.00537603, 0.00556565, 0.00405231, 0.00678318, 0.0070614, 0.00147093, 0.00187159, 0.00151568, 0.00688656, 0.0130981, 0.00283983, 0.00111477, 0.00289679
32, 200, 0.00620856, 0.00424589, 0.00382041, 0.00355239, 0.0036449, 0.00425858, 0.00345977, 0.00346311, 0.00192914, 0.00184657, 0.00542478, 0.00339505, 0.00497963, 0.0109134, 0.0109023, 0.00410567, 0.0104372, 0.0101009, 0.0155973, 0.00647679, 0.0220617, 0.00821037, 0.00827443, 0.00416845, 0.00586423, 0.00526391, 0.00457522, 0.00733355, 0.00764016, 0.00159132, 0.00210609, 0.0016566, 0.00742463, 0.0139802, 0.00302636, 0.00135484, 0.00308967
33, 200, 0.00596194, 0.00444683, 0.00364199, 0.00366156, 0.00349769, 0.00420379, 0.00343621, 0.0033861, 0.00187006, 0.00184063, 0.00574975, 0.00316369, 0.00508501, 0.0109962, 0.0109139, 0.00410262, 0.0109406, 0.010553, 0.0163104, 0.00684466, 0.0234812, 0.0085759, 0.00863325, 0.00397299, 0.00636041, 0.00499197, 0.00510179, 0.00791205, 0.00825157, 0.0017094, 0.00237119, 0.00180259, 0.00798111, 0.0148347, 0.00321603, 0.00161569, 0.00328644
34, 200, 0.00566754, 0.00467347, 0.00339709, 0.00381434, 0.00336642, 0.00420946, 0.00341155, 0.00331211, 0.00181119, 0.00183141, 0.00608747, 0.00299626, 0.00519184, 0.0110759, 0.0109211, 0.00409711, 0.0114403, 0.0109947, 0.0169137, 0.00723773, 0.0247632, 0.00893803, 0.00899041, 0.00382328, 0.00685148, 0.00476076, 0.00562672, 0.0085154, 0.00889723, 0.00182505, 0.00266163, 0.00195218, 0.00855785, 0.0156573, 0.00340974, 0.00189597, 0.00348647
35, 200, 0.00536774, 0.00494499, 0.0031062, 0.00403041, 0.00324981, 0.00426719, 0.00338534, 0.00324332, 0.00174799, 0.00181763, 0.00643477, 0.00290783, 0.00529534, 0.0111465, 0.010917, 0.00408831, 0.011943, 0.0114374, 0.017408, 0.00765912, 0.025941, 0.0093214, 0.00935997, 0.00374383, 0.0073164, 0.00459235, 0.00613866, 0.00914449, 0.00958157, 0.00193883, 0.0029741, 0.00210517, 0.00916169, 0.0164562, 0.00361184, 0.00219555, 0.00369312
36, 200, 0.00510298, 0.00527218, 0.00279499, 0.00432134, 0.00313656, 0.00435292, 0.00335713, 0.00317966, 0.0016777, 0.00179856, 0.00677911, 0.00289911, 0.00539464, 0.0112076, 0.0109031, 0.00407843, 0.0124661, 0.0119066, 0.0178382, 0.00810482, 0.0270344, 0.0097493, 0.00976853, 0.00373698, 0.00774691, 0.00449735, 0.00662638, 0.00980175, 0.0103076, 0.00205237, 0.00330697, 0.00226232, 0.00979949, 0.0172547, 0.00382822, 0.00251352, 0.00391174
37, 200, 0.00490097, 0.00565587, 0.00248388, 0.00468609, 0.00301846, 0.00444534, 0.00332882, 0.00312082, 0.0016041, 0.00177623, 0.00710894, 0.00296462, 0.00549112, 0.0112656, 0.0108852, 0.00406949, 0.0130273, 0.0124191, 0.0182708, 0.00857908, 0.0280479, 0.0102232, 0.0102383, 0.0037847, 0.00815119, 0.00446597, 0.00708972, 0.0104933, 0.0110772, 0.00216997, 0.00366231, 0.00242677, 0.0104707, 0.0180865, 0.00406154, 0.00284728, 0.00414476
38, 200, 0.00477521, 0.00609314, 0.00218572, 0.0051176, 0.00290385, 0.00454715, 0.00330495, 0.00306817, 0.00153575, 0.00175505, 0.00742444, 0.00310288, 0.00558389, 0.0113279, 0.0108665, 0.0040609, 0.0136365, 0.0129757, 0.0187575, 0.00909701, 0.0289812, 0.0107254, 0.0107756, 0.00387, 0.00854774, 0.00448028, 0.00754477, 0.011228, 0.0118915, 0.00229968, 0.0040488, 0.00260552, 0.011168, 0.0189772, 0.00431149, 0.00319458, 0.00439182
39, 200, 0.0047316, 0.00658392, 0.00191512, 0.00561047, 0.00281503, 0.00467871, 0.0032904, 0.00302506, 0.00148004, 0.00173916, 0.00773649, 0.00331136, 0.00566951, 0.011397, 0.0108464, 0.00405069, 0.0142926, 0.0135728, 0.0193197, 0.00966672, 0.029838, 0.0112447, 0.0113749, 0.00398542, 0.00895208, 0.00452811, 0.00801076, 0.0120119, 0.0127463, 0.0024522, 0.00447946, 0.00280846, 0.011885, 0.0199265, 0.00457883, 0.00355679, 0.00465381
