6.38,-1.4983,-37.355,406.77,0.62073,1.0498,-0.011506,1.2076,35.514,394.93,0.63139,0.69768,-0.009999
6.4,-1.5412,-37.335,406.75,0.62057,1.0497,-0.011506,1.2424,35.485,395,0.63094,0.69771,-0.009999
6.42,-1.6151,-37.309,406.75,0.62044,1.0497,-0.011506,1.2679,35.464,394.97,0.63054,0.69773,-0.009999
6.44,-1.6849,-37.287,406.82,0.62034,1.0497,-0.011506,1.3001,35.454,394.88,0.63022,0.69771,-0.009999
6.46,-1.7193,-37.265,406.94,0.62024,1.0496,-0.011506,1.3276,35.452,394.8,0.62998,0.69767,-0.009999
6.48,-1.7085,-37.232,407.05,0.62014,1.0496,-0.011506,1.3297,35.461,394.7,0.62981,0.69763,-0.009999
6.5,-1.6665,-37.185,407.09,0.62003,1.0495,-0.011506,1.3109,35.474,394.59,0.62967,0.69761,-0.009999
6.52,-1.6219,-37.131,407.02,0.61992,1.0495,-0.011506,1.2921,35.487,394.49,0.62954,0.69761,-0.009999
6.54,-1.6,-37.087,406.86,0.61982,1.0494,-0.011506,1.2874,35.503,394.44,0.62939,0.69765,-0.009999
6.56,-1.6086,-37.061,406.61,0.61975,1.0494,-0.011506,1.2966,35.521,394.48,0.62922,0.69769,-0.009999
6.58,-1.6381,-37.057,406.27,0.61971,1.0494,-0.011506,1.3237,35.54,394.64,0.62904,0.69774,-0.009999
6.6,-1.6805,-37.063,405.9,0.61968,1.0494,-0.011506,1.373,35.562,394.91,0.62885,0.69778,-0.009999
6.62,-1.7271,-37.065,405.52,0.61965,1.0494,-0.011506,1.4387,35.592,395.24,0.62867,0.69783,-0.009999
6.64,-1.7683,-37.049,405.21,0.61961,1.0493,-0.011506,1.5043,35.631,395.58,0.6285,0.6979,-0.009999
6.66,-1.8109,-37.008,404.99,0.61957,1.0493,-0.011506,1.5584,35.678,395.92,0.62834,0.69798,-0.009999
6.68,-1.869,-36.95,404.86,0.61955,1.0493,-0.011506,1.6023,35.726,396.23,0.62819,0.69804,-0.009999
6.7,-1.9515,-36.895,404.8,0.61956,1.0492,-0.011506,1.6335,35.769,396.5,0.62805,0.69806,-0.009999
6.72,-2.0614,-36.855,404.73,0.61962,1.0492,-0.011506,1.6375,35.805,396.71,0.6279,0.69803,-0.009999
6.74,-2.1922,-36.829,404.59,0.61972,1.0491,-0.011506,1.6093,35.829,396.87,0.62774,0.69795,-0.009999
6.76,-2.3288,-36.806,404.36,0.61982,1.0491,-0.011506,1.5643,35.839,397.01,0.62757,0.69786,-0.009999
6.78,-2.4508,-36.783,404.03,0.61988,1.049,-0.011506,1.5264,35.838,397.14,0.62737,0.69781,-0.009999
6.8,-2.5344,-36.758,403.66,0.61988,1.049,-0.011506,1.5152,35.831,397.31,0.62711,0.69782,-0.009999
6.82,-2.5584,-36.734,403.28,0.61979,1.049,-0.011506,1.5447,35.833,397.54,0.62677,0.69786,-0.009999
6.84,-2.5109,-36.719,402.94,0.61962,1.049,-0.011506,1.6129,35.852,397.83,0.62635,0.6979,-0.009999
6.86,-2.4003,-36.717,402.63,0.61937,1.0491,-0.011506,1.721,35.884,398.11,0.62585,0.69795,-0.009999
6.88,-2.2558,-36.724,402.33,0.61905,1.0491,-0.011506,1.8808,35.912,398.33,0.62527,0.698,-0.009999
6.9,-2.1109,-36.734,402.03,0.6187,1.0491,-0.011506,2.0967,35.92,398.52,0.62458,0.69806,-0.009999
6.92,-1.9887,-36.737,401.78,0.61832,1.049,-0.011506,2.3589,35.908,398.74,0.62382,0.69812,-0.009999
6.94,-1.8979,-36.727,401.58,0.61797,1.049,-0.011506,2.6417,35.893,399.04,0.62302,0.69818,-0.009999
6.96,-1.8405,-36.707,401.43,0.61765,1.0489,-0.011506,2.9148,35.898,399.42,0.62225,0.69823,-0.009999
6.98,-1.8153,-36.683,401.26,0.6174,1.0488,-0.011506,3.149,35.939,399.83,0.62156,0.69827,-0.009999
7,-1.8153,-36.654,401.01,0.61721,1.0488,-0.011506,3.3132,36.007,400.21,0.621,0.6983,-0.009999
